[Published: 2024-08-31]
Furqan: to start, from starting. Theek hai? Kuch bhi rukna nahi chahiye unko. Theek hai? Ab masla kya aata hai, jo maine logon se baat ki na? Logon ko lagta hai yaar ye koi, ye koi kaali world hai, ismein kuch bohat achi ajeeb sa kuch Excel ke andar karte hain aur phir aisa karte hain, aisa karte hain. Mera maqsad ye tha samjhana, ke hum kuch extra nahi karte hain. Apni jo knowledge hai wo saamne rakh di,

Rehman: Hmm.

Furqan: ke bhai ye knowledge hai. Ismein ye banaya hai. Koi ismein aisi koi rocket science aur usmein koi obsidian model ya aisa kuch bhi nahi hai.

Rehman: Sahi.

Furqan: Ye logics hain.

Rehman: Sahi.

Furqan: Ye industries hain.

Rehman: Sahi.

Furqan: Ye methods hain.

Rehman: Sahi.

Furqan: Ab jab maine wo course banaya na,

Rehman: Yes.

Furqan: maine usmein journey ke type banaya. Ke yaar pehle kaise shuru karoge? Kuch bhi nahi aata hai to kaise karoge?

Rehman: Hmm.

Furqan: Phir stock market mein ab do option hain aapke paas. Ab aap mutual fund ka route le sakte ho. Ab aap iska route le sakte ho. Mutual fund ke andar aapko market related return banega, apne andar aapko zyada return ban sakta hai because aap time spend karoge. Agar aapko khud ghusna hai to aapke paas kya option hai? Shuru karne ke liye aapke paas dividend dividend reinvestment model hai, uske baad phir aap dusra growth, long growth only hai, uske baad fir cyclical industries. Ye teen kism ki hai. To maine ye koshish ki ke yaar koi aisi cheez broadly speaking

Rehman: Broadly.

Furqan: Broadly speaking, koi aisi cheez aisa sun ke na lag jaye ke yaar ye koi aisa kuch jadu karte hain jiske baad inhone koi bohat hi koi rocket wo model banaya hua hai ke ek pill, ek pill, waisa kuch bhi nahi hai.

Rehman: Okay.

Furqan: Sab kuch saamne hai.

Rehman: Sahi.

Furqan: Ye karte hain.

Rehman: Sahi.

Furqan: Ab iske upar jo dimaag hai, istemaal karne wala...

ARN: Agar aur seekhna hai to phir aap paid mein aa jao.

Furqan: Ab ismein paid mein aane ke na do reason hote hain, jo mujhe samajh mein aate hain. Tumhara to abhi chal raha hai na course, to you can also help us. Mujhe samajh mein aata hai paid mein aane ke na do bohat bade benefit hote hain. Ek to jo maine course banaya hai, usmein logon ke dimaag mein bohat saare sawalat hain.

Rehman: Yes.

Furqan: Ab wo mujhse poochna chahte hain.

Rehman: Aur tumhein time dena hai.

Furqan: Aur main literally bataun, meri jo wo video hai na, pehli video pe ek lakh views hain, I think zyada hain ya kam hain mujhe pata nahi hai. Aur mere paas us video pe I think saade teen hazaar comments hain.

Rehman: Acha.

Furqan: Aur saade teen hazaar comments mein se 60-65% jo hai na wo questions hain.

Rehman: Yes.

Furqan: Now think about responding to those questions. Main kya karta hoon ek phir video bana deta hoon phir video... But jo coherence hai na

Rehman: Hmm.

Furqan: aur pehla reason ye tha mera jo course banta hai, jis reason ke tehat course banna chahiye,

Rehman: Haan.

Furqan: ke aapke paas ek banda available hai jo directly aapko respond kar raha hai. Theek hai?

Rehman: Haan.

Furqan: Option number two, us bande ka aapko dimaag samajhna hai ke nahi samajhna hai?

Rehman: Exactly.

Furqan: Ek bande ne na, main abhi aap mere saamne kisi aur head of research ko bhi bitha do.

Rehman: Yes.

Furqan: Ya Rehman baitha hai na, Rehman is equally good as, as head of research.

Rehman: Hmm.

Furqan: Bitha do usko, uska thought process towards investment will be different.

Rehman: Yes.

Furqan: And mine will be different. Let's say tumne bhi ek free course daal diya, maine bhi ek free course daal diya, wo banda baith ke lad raha hoga ke yaar ye sahi baat kar raha hai ya ye sahi.

Rehman: Exactly.

Furqan: What they need to understand is where am I coming from. Jaise abhi tumne paanch hazaar wala sawal poocha, maine uska angle change kar diya. Maine kaha pehle protection, phir investment.

Rehman: Yes.

Rehman: Aur humne agree bhi kar liya.

Furqan: Haan, haan, yes, yes, yes.

Rehman: When you explain something in a good manner agla banda agree bhi kar leta hai.

Furqan: Agree kar jata hai. To ye do cheezein mujhe lagta hai ye do cheezon mein na

Rehman: Hmm.

Furqan: aap paid model ke bagair kaam nahi kar sakte.

Rehman: Nahi kar sakte, yaar.

Furqan: Ek peeche ho sawalat ke peeche ho ke sawalat aapko poochne hain, aapke paas banda hai wo sawal poochne ke liye. And ek aapko uska poora thought process samajhna hai ke yaar ye kyun kyun bol raha hai dividend reinvestment...

Rehman: Aur wo sawal hi hai na. Sawal karoge to seekhoge na. Sawal ke bagair, it won't be possible. Seekhne ki, humare ustad bolte hain... Acha ab isko na thoda peeche le jao, main har cheez ko connect karta hoon, I am really sorry. Aapka chota bacha jab tha na, teen saal se jab wo bada hona shuru hua, ek hi kaam karta hoga wo.

Furqan: Sawal.

Rehman: Sawal, sawal, sawal, sawal. Learning ka door open hota hai, wo sawal se hoga.

Furqan: Hmm.

Rehman: To sawal agar aapne jawab karne hain, you have to give them time and you have to, you have to, you have to give them time, to tumhein wo time apni family se ya apni job se ya kahin se lena padega and you have to get paid for it, simple as that.

ARN: Acha ispe meri soch ye hai ke na aap jab bhi koi cheez launch karte ho, let's say humne apna investing master class launch kiya,

Rehman: Hmm.

ARN: aapne socha hua hai uske andar ye value hai.

Rehman: Theek hai.

ARN: Jab aapne uska post kiya na,

Rehman: Hmm.

ARN: to us bande ne padha, usko value nazar aa rahi hai yahan pe.

Rehman: Exactly.

ARN: Theek hai? Ab aapne usse communicate karna hai, usko explain karna hai aur usko aahista aahista batana hai ke jo hum ismein value de rahe hain wo kya hai.

Rehman: Sahi.

ARN: Aur ye aapki responsibility hai.

Rehman: Bilkul.

ARN: Aap ismein ye nahi aake bol sakte ke ye banda dekho jo hai mere peeche pad gaya hai.

Rehman: Haan.

ARN: Jab usne wo cheez padhi hai, usko sirf 10% samajh aaya hai abhi.

Rehman: Sahi.

ARN: Aapki responsibility hai aap communicate karo, pehle usko 60-70 par lekar aao, jab wo 60-70 pe pahuchega na, wo khud ek informed decision le lega.

Rehman: Exactly.

ARN: Aur jab wo informed decision le ke usmein enroll karega aur usmein wo value dekhega aur uska experience acha hoga,

Rehman: Hmm.

ARN: to wo khud kahega ke haan this was a good decision.

Rehman: This was worth it.

ARN: To to ultimate objective kisi bhi cheez ka na, koi aap gaadi becho, investing master class becho ya koi aur cheez becho, uska ye hai ke jo banda usko buy kare na, usko 10x value mile usmein.

Rehman: Hmm.

ARN: To phir price jo hai na wo justify ho jati hai.

Rehman: Justify ho jati hai.

ARN: Aur jaise humne baat ki, bhai Warren Buffett bhi kehta hai, the best investment is that you can make in yourself.

Rehman: Theek hai.

ARN: Aur na jo hamari personal journey thi. Do saal pehle Twitter ke threads likhe, 10-12.

Rehman: Hmm.

ARN: Aaj bhi usko koi padhe to wo aaram se jo hai achi company dhoond sakta hai.

Rehman: Sahi.

ARN: Theek hai? Sawal badh gaye logon ke.

Rehman: Sahi.

ARN: Pehle jab thread nahi likhte the tab kam sawal aate the. Thread likho to aur sawal aate hain. Halanke humne unko solution diya hai.

Rehman: Bilkul.

ARN: Phir uske baad investing framework likha.

Rehman: Sahi.

ARN: Maine kaha yaar ye aur maine khud na 400 logon ko email kiya hai ek ek karke.

Rehman: Sahi.

ARN: Ke bhai aap padho aur bada acha response bhi aaya, lekin sawal aur badh gaye.

Rehman: Sahi.

ARN: Jitni zyada information do na, sawal badhte ja rahe hain.

Rehman: Sahi.

ARN: Phir uske baad YouTube videos.

Rehman: Sawal, comment badh gaye.

ARN: Sector pe video detailed bana di.

Rehman: Sahi.

ARN: Sawal aur badh gaye.

Rehman: Sahi.

ARN: To ultimately aapko jo hai apni understanding logon ko deliver karni hai aur usmein 10x value deni hai,

Rehman: Hmm.

ARN: tab that price is justified.

Rehman: Exactly.

ARN: Kuch kuch log obviously aise honge jinke liye wo price bohat zyada hogi.

Rehman: Hmm, hmm.

ARN: To unke liye aap hamesha free content jo hai na uski quality, uski quality behtar karte rehte ho, behtar karte rehte ho.

Rehman: Nice.

ARN: Jab aap in cheezon se kuch logon se earn karte ho, to kuch portion of that earning aap invest karte ho in your free content.

Rehman: Nice.

ARN: Khud batao Furqan agar hum logon ke paid service na ho, ye YouTube channel chalega?

Furqan: To free content banane ke liye bhi...

ARN: Free content banane ke liye bhi aapko ek paid service deni padti hai. Aur agar aap value generate kar rahe ho, to theek hai bilkul.

Furqan: Main main 100% isse agree karta hoon Rehman se. Main ek cheez add karta hoon. Har bande ke liye na, paid course nahi hai.

Rehman: Sahi.

Furqan: Theek hai?

Rehman: Bilkul.

Furqan: Main genuinely ek cheez sab logon ko batana chahta hoon. Aapka pehla solution paid course nahi hai.

Rehman: Hmm, haan.

Furqan: Dimaag mein ye bitha lein. Mera free course mere paid course ke baad aaya tha.

Rehman: Sahi.

Furqan: But maine free course kyun dala?

Rehman: Hmm.

Furqan: Kyunki wo poori journey pe guzar ke wo ek banda level pe pahuchta hai jab wo sochta hai ke ye mere liye hai ya ye mere liye nahi hai.

Rehman: Bilkul.

Furqan: To samajhne ki zaroorat hai ke aapko agar pehla sawal aaya hai to iska matlab ye nahi hai ke ab aap main course, kaunsa course khareedun.

Rehman: Haan.

Furqan: Ek bande se meri baat ho rahi thi usne mujhe message kiya ke "sar aapka wo jo wo jo course hai jo main har saal mein ek baar karta hoon aur main das logon ke liye karta hoon" kyunki main nahi time de sakta bohat zyada to main one-to-one karke aur starting of the journey aur ending of the journey dono leta hoon. Bhai tere sawalat kya the?

Rehman: Theek hai.

Furqan: Main sahi se samajha paya ke nahi samajha paya, warna do ghante aur mujhse le le, theek hai? But

Rehman: Sahi.

Furqan: har bande ka question ye hota hai, "sar aap ye batayen ke ab main kaunsa course loon".

Rehman: No, bro, no.

Furqan: No bro, no.

Rehman: Haan.

Furqan: Pehla sawal question nahi hai. Aap ye jo course hai na wo last hai.

Rehman: Pehle aap free content se...

Furqan: Pehle aap dekho, Warren Buffett ko dekho, idhar-udhar wo cheezon ko dekho, sambhlo aur uske baad phir end mein aapko pata chalega ke yaar ab main iske paas ja raha hoon, Rehman ke paas ja raha hoon iska course chal raha hai na? Main Rehman ke paas ja raha hoon, ab jab main isse sawal poochunga na, wo ek lakh rupay ka ek sawal hoga.

Rehman: Yes.

Furqan: Aur jab main teen sawal poochunga na to teen lakh rupay ki value nikal aayegi.

Rehman: Value nikal gayi. Main bhi to bol raha hoon ke aap jo...

Furqan: I think jab kisi ko time lete ho kisi se, experienced bande se, uski value hoti hai. Ab ye Charlie Munger, Warren Buffett bhi logon ko lunch karwate the apne sath jab, so they used to get paid.

ARN: Acha ek interesting event batata hoon. Warren Buffett ne 60s mein

Rehman: Hmm.

ARN: bohat mehanga course us time ka Dale Carnegie ka communication skills ka course liya.

Furqan: Warren Buffett ne?

ARN: Warren Buffett jaise matlab banda jo aaj bhi purani gaadi jo hai wo chalata hai, us time pe usne jab usmein value dekhi to wo us time ka na sabse mehanga course hota tha. $100 ka hota tha.

Rehman: Sahi.

ARN: Aaj ke hisab se I think koi hazar, do hazar dollar hoga inflation ke hisab se.

Rehman: Sahi.

ARN: To again wahi, the best investment is that you can make in yourself.

Rehman: I agree.

ARN: Agar in cheezon se aapki investing yahan se yahan ja sakti hai,

Rehman: Hmm.

ARN: to it's worth it.

Rehman: Theek.

ARN: Agar aapne abhi tak khud itna time spend nahi kiya, aur aap ja rahe ho bas ke haan mere saare problem tum solve kar doge, to wo nahi hoga.

Rehman: Haan, haan, agar aap apni problems ka burden kisi ke kandhe pe dalna chah rahe ho na ke yaar mere saare problem ka jawab ek course hai,

ARN: Yes.

Rehman: to aap starting se failure ho. Matlab aap starting mein fail hone ke liye enter ho rahe ho aur phir baad mein aap bologe ke yaar is bande ne to...

ARN: Wo jab khatam ho jayega to phir kahenge ab main kya karoon?

Rehman: Ab main kya karoon? Kyunki aapne self-learning to kari nahi hai zara si bhi. Aap to direct aapko ek banda chahiye jo bas...

Furqan: But then uske liye bhi.

Rehman: Hmm.

Furqan: Let's say ek bande ke paas time nahi hai ya bande ko bohat saara matlab wo nahi samajh mein aa raha na usko,

Rehman: Hmm.

Furqan: Do ETFs.

Rehman: Haan.

Furqan: Do mutual funds.

Rehman: Bilkul.

Furqan: Don't stop, this should not stop you from investing.

Rehman: Yes, this is value addition.

Furqan: This is value, this is like jaise Mount Everest pe main kaunsa pahad tha wahan pe chadhne ki baat hai? Nanga Parbat nikalta hai, phir base camp aata hai...Speaker 1: Do ETFs? Haan. Do Mutual Funds? Bilkul. Don't stop. This should not stop you from investing. This is value addition.

ARN: This is value... This is like... jaise hum Mount Everest pe, main kaun sa pahar tha wahan pe chadne ki baat hai? Nanga Parbat nikalta hai, phir base camp aata hai. This is just a start. Matlab aap jitna upar, main base camp tak ruk gaya. Main chahta to aur aage chala jata. Log jate hain na? To main base camp se wapas aa gaya. Aap ki marzi hai aap ko kaise karna hai, but aap ki climbing nahi rukni chahiye.

Speaker 2: Yes.

ARN: Aap ki trekking nahi rukni chahiye. Aap ki trekking chalti rahe, aap ko samajh mein aata hai to aap Nanga Parbat se wapas aa jayein, aap ko samajh mein aata hai to base camp se wapas aa jayein, aap ko samajh mein aata hai to biggest course by mujhe lagta hai Aswath Damodaran se accha kisi ka course nahi hai, 2,000 dollar ka NYU ka course hai, aap woh le lein. Bilkul. Kaun rokta hai aap ko?

Speaker 1: Humne retail investors point of view se bahut baat ki. Jo log banate hain ye apne investing course, unki bhi bahut responsibility hai. Unko hamesha make sure karna chahiye ke wo jo cheez bech rahe hain, usme 10x value ho. Kyunki ek banda bhi agar koi galti karta hai na, uska impact sab pe padta hai. Poori industry pe aata hai.

Speaker 2: Aur ye, ye ek collective responsibility, ye ye baat bahut zabardast baat boli hai ke shayad isliye bhi hum thode se in chakkaron mein phas gaye hain ke hum jo hain wo...

ARN: Yaar, trolls toh har jagah hain. Hum phas kyun gaye hain? Hum ghabra gaye hain. Yes. Bahut saare log hain na, hum log ko manjan seller aur ye seller aur wo seller...

Speaker 2: Yes, yes, yes. And and that that has to that has to, you know, stop.

ARN: Nahi, that doesn't have to stop.

Speaker 2: No, it it...

ARN: To be very honest.

Speaker 2: Okay.

ARN: Let them be, bro.

Speaker 2: Haan, woh sahi hai. Lekin iski wajah se bahut saare log...

ARN: Bhai, tumne Twitter ke upar tumhara ek phadda hua tha?

Speaker 2: Haan.

ARN: Tumne kaha tha teen saal ka likh lo. Stock market badhti hai, dollar badhta hai.

Speaker 2: Haan.

ARN: Banda nazar aa raha hai?

Speaker 2: Sahi hai. Ye, ye dekho meri baat suno. Battle of the unknowns.

ARN: Battle of the unknowns. Very nicely said. Kehne ka maqsad kya hai? Kehne ka maqsad ye hai... har kism ke log aap ke paas aayenge.

Speaker 2: Yes, yes.

ARN: Aap ko sirf aur sirf unko guide karna hai. This is, this for you? Is this not for you?

Speaker 2: Aur aur jo value woh samajh payega na, shayad woh jab tak uske dimaag mein aise mushkil sawal nahi aayenge, woh shayad tumhare course ki value bhi na samajh paye.

ARN: Samajh nahi aur aur aur woh woh... yaar woh nahi kar payega na, woh woh banda do-do rupaye ke sawal poochega ke yaar dividend yielding dividend yield kya hoti hai?

Speaker 2: Yes.

ARN: P/E multiples kya hote hain?

Speaker 2: Haan.

ARN: Ab aap ko pata hai ke ye cheez aap ko free mein mil sakti hai. Aap ko poochna ye hai ke bhai ispe tum P/E multiple istemal kar rahe ho, ispe tum nahi kar rahe ho, ye kya jhalat hai?

Speaker 2: Haan, haan.

ARN: Aap course instructor ko essentially uski aap usse sawal pooch ke usko aap hilaoge.

Speaker 2: Hilaoge.

ARN: Taaki woh apne aap... yaar ek course jo banata hai na, woh khud bhi seekh raha hota hai.

Speaker 2: Yes.

ARN: Sawaloon se na naye naye sawal jo kabhi soche nahi hote na, us pe bhi banda seekh raha hota.

Speaker 2: Bilkul.

ARN: So kehne ka maqsad kya hai? I think let them troll you, troll us, troll whatever.

Speaker 2: Ji.

ARN: Chahe woh kisi ka bhi course ho.

Speaker 2: Theek.

ARN: But ho ye gaya hai ke kuch logon ne aise aise manjan bech ke itna kharab kar diya hai is industry ko, ke humne woh course sellers sab ek jaise ho gaye hain.

Speaker 2: Sahi.

ARN: So I think...

Speaker 1: Ab meri jo humari jo thinking thi na, ye usme bhi aayi thi. Jab humne apna advisory license liya na, bahut saare log sochte hain ke yaar jab tak broker nahi honge na hum, logon ke paise nahi honge humare paas, hum unko advise nahi kar sakte, hum unko kabhi bhi convince nahi kar payenge. Acha, ye jo communication wala challenge hai na, jaise hum abhi baat kar rahe hain ke aap jo product logon ke liye lekar aate ho, usme value communicate karne mein problem hoti hai. Isme na humein bhi ek bahut saare logon ne kaha tha, jab humne advisory license liya, ke advisory license mein aap logon ke paise toh aap ke paas aate hi nahi hain, jab tak aap ke paas brokerage account mein paise nahi aayenge na, aap kabhi bhi agle bande ko convince kar hi nahi sakte ke ab is se ye lena hai. But humne isko dekha as a responsibility, ke aap apni communication improve karein. Aur agar aap sochein ke ek bande ka agar ban rahe hain paise, to woh kyun nahi execute karega? To agar same cheez aap ispe bhi apply karein na, aap jo product sell kar rahe hain, aapne jo aapki audience hai, uski 10% knowledge hai, aapne usko acha acha acha acha communicate karke 60-70 pe leke aana hai. To ye responsibility aapne khud apne upar leni hai. Ek dafa jab aap is mindset se karenge na, phir jo log aap ko aake troll karte hain... kyunki information jo hai na woh jo aap ke paas hai, woh aur kisi ke paas nahi hoti. Even aap jo kaam kar rahe hain apna, let's say aap ek journey pe hain, koi nayi cheez develop kar rahe hain, to aap apne ghar walon ko bhi nahi bata sakte ke aap exact kya kar rahe hain. To woh communication bahut zaroori hoti hai. Aap ko apni audience ko us par pe lekar aana hai, aap jo offer kar rahe hain usme kya value hai.

Speaker 2: To baat to karne ko humare paas bahut hain, aur thakte bhi nahi hain hum log. Aur jinka gala baith jata hai na, phir woh spray karke gala apna wapas sahi bhi kar leta hai. Lekin sab ki kuch zimmewariyan hain, kuch kaam hain. To hopefully hum dobara wapas aayenge aur humari koshish ye hogi ke hum sirf investments, stock market, money market, in cheezon pe baat na karein aur bhi bahut saari cheezon pe baat karein. Aap ke life lessons, aapki learnings, aapki unlearnings, humari unlearnings, humari learnings. Aur agar aap kisi topic pe chahte hain ke hum uspe bhi baat karein toh humein comments mein zaroor batayein. Milte hain hum teeno insha'Allah aap se agle podcast mein. Allah hafiz.

Speaker 1: Allah hafiz.

ARN: Allah hafiz.
